release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
1998,10,6.6,R,Lethal Weapon 4,140000000,127,Warner Bros.,285444603,130444603,Action,Crime,Thriller,0
1997,1,7.8,PG-13,Titanic,200000000,194,Paramount Pictures,1850197130,600788188,Drama,Romance,,0
1997,2,6.6,PG-13,The Lost World: Jurassic Park,73000000,129,Universal Pictures,618638999,229086679,Action,Adventure,Sci-Fi,0
1997,3,7.3,PG-13,Men in Black,90000000,98,Sony Pictures,589390539,250690539,Action,Adventure,Comedy,0
1997,4,6.5,PG-13,Tomorrow Never Dies,110000000,119,Metro-Goldwyn-Mayer,333011068,125304276,Action,Adventure,Thriller,0
1997,5,6.5,R,Air Force One,85000000,124,Sony Pictures,315156409,172956409,Action,Drama,Thriller,0
1997,6,7.7,PG-13,As Good As It Gets,50000000,139,Sony Pictures,314178011,148478011,Comedy,Drama,Romance,0
1997,7,6.9,PG-13,Liar Liar,45000000,86,Universal Pictures,302710615,181410615,Comedy,Fantasy,,0
1997,8,6.3,PG-13,My Best Friend's Wedding,38000000,105,Sony Pictures,299288605,127120029,Comedy,Drama,Romance,0
1997,9,7.7,PG-13,The Fifth Element,93000000,126,Sony Pictures,263920180,63820180,Action,Adventure,Sci-Fi,0
1997,10,7.2,R,The Full Monty,3500000,91,Fox Searchlight Pictures,257938649,45950122,Comedy,Drama,,0
1996,1,7,PG-13,Independence Day,75000000,145,Twentieth Century Fox,817400891,306169268,Action,Adventure,Sci-Fi,0
1996,2,6.4,PG-13,Twister,92000000,113,Warner Bros.,494471524,241721524,Action,Adventure,Thriller,0
1996,3,7.1,PG-13,Mission: Impossible,80000000,110,Paramount Pictures,457696359,180981856,Action,Adventure,Thriller,0
1996,4,7.4,R,The Rock,75000000,136,Walt Disney ,335062621,134069511,Action,Adventure,Thriller,0
1996,5,6.9,G,The Hunchback of Notre Dame,100000000,91,Walt Disney ,325338851,100138851,Animation,Drama,Family,0
1996,6,5.7,G,101 Dalmatians,75000000,103,Walt Disney ,320689294,136189294,Adventure,Comedy,Crime,0
1996,7,6.6,R,Ransom,80000000,121,Walt Disney ,309492681,136492681,Action,Crime,Thriller,0
1996,8,5.6,PG-13,The Nutty Professor,54000000,95,Universal Pictures,273961019,128814019,Comedy,Romance,Sci-Fi,0
